"#","No.","Name","Laps","Lead","Lap Tm","Spd","Elapsed Tm","Passing Tm","Hits","Strength","Noise","Photocell Time","Transponder","Backup Tx","Backup Passing Tm","Class","Deleted"
"1","","Warmup Flag","","","","","","9:28:36.877","","","","","","","","",""
"2","","Green Flag","","","","","0.000","9:42:39.413","","","","","","","","",""
"3","","Warmup Flag","","","","","21.455","9:43:00.868","","","","","","","","",""
"4","","Green Flag","","","","","21.455","9:43:03.853","","","","","","","","",""
"5","47","Nordic Light Racing","0","0","","0.0","31.360","9:43:13.758","178","183","3","","7650748","0","","R2","No"
"6","10","Tommes Pack Seat Leon","0","0","","0.0","31.998","9:43:14.396","222","182","4","","9788538","0","","R2","No"
"7","3","Häzen","0","0","","0.0","32.966","9:43:15.364","142","148","4","","9515691","0","","R1","No"
"8","8","Team Skeppsbrons","0","0","","0.0","33.234","9:43:15.632","165","157","4","","4867808","0","","R1","No"
"9","30","Team Gävlarna","0","0","","0.0","34.131","9:43:16.529","178","163","4","","3289056","0","","R1","No"
"10","27","BET","0","0","","0.0","37.626","9:43:20.024","147","159","4","","7647018","0","","R1","No"
"11","117","Roslagen Racing BMW 323 compact","0","0","","0.0","41.622","9:43:24.020","142","156","4","","7722653","0","","Standard","No"
"12","190","MoMo Racing Team MRT","0","0","","0.0","43.578","9:43:25.976","148","159","4","","7493526","0","","R2","No"
"13","555","Team Hau Nau","0","0","","0.0","44.459","9:43:26.857","125","154","4","","7637509","0","","R1","No"
"14","47","Nordic Light Racing","1","1","1:08.912","111.6","1:40.272","9:44:22.670","117","181","6","","7650748","0","","R2","No"
"15","10","Tommes Pack Seat Leon","1","1","1:09.213","111.2","1:41.211","9:44:23.609","163","179","6","","9788538","0","","R2","No"
"16","8","Team Skeppsbrons","1","1","1:09.278","111.0","1:42.512","9:44:24.910","115","149","6","","4867808","0","","R1","No"
"17","3","Häzen","1","1","1:13.255","105.0","1:46.221","9:44:28.619","99","148","6","","9515691","0","","R1","No"
"18","30","Team Gävlarna","1","1","1:14.029","103.9","1:48.160","9:44:30.558","120","161","6","","3289056","0","","R1","No"
"19","27","BET","1","1","1:14.384","103.4","1:52.010","9:44:34.408","116","159","6","","7647018","0","","R1","No"
"20","190","MoMo Racing Team MRT","1","1","1:12.540","106.1","1:56.118","9:44:38.516","124","159","6","","7493526","0","","R2","No"
"21","555","Team Hau Nau","1","1","1:12.342","106.3","1:56.801","9:44:39.199","73","149","6","","7637509","0","","R1","No"
"22","117","Roslagen Racing BMW 323 compact","1","1","1:19.832","96.4","2:01.454","9:44:43.852","120","155","6","","7722653","0","","Standard","No"
"23","47","Nordic Light Racing","2","2","1:06.185","116.2","2:46.457","9:45:28.855","116","179","4","","7650748","0","","R2","No"
"24","10","Tommes Pack Seat Leon","2","2","1:05.957","116.6","2:47.168","9:45:29.566","157","178","4","","9788538","0","","R2","No"
"25","8","Team Skeppsbrons","2","2","1:08.071","113.0","2:50.583","9:45:32.981","129","159","4","","4867808","0","","R1","No"
"26","3","Häzen","2","2","1:10.748","108.7","2:56.969","9:45:39.367","100","148","4","","9515691","0","","R1","No"
"27","30","Team Gävlarna","2","2","1:11.153","108.1","2:59.313","9:45:41.711","131","164","4","","3289056","0","","R1","No"
"28","27","BET","2","2","1:11.648","107.4","3:03.658","9:45:46.056","130","160","4","","7647018","0","","R1","No"
"29","190","MoMo Racing Team MRT","2","2","1:11.546","107.5","3:07.664","9:45:50.062","122","159","4","","7493526","0","","R2","No"
"30","555","Team Hau Nau","2","2","1:11.169","108.1","3:07.970","9:45:50.368","72","147","4","","7637509","0","","R1","No"
"31","117","Roslagen Racing BMW 323 compact","2","2","1:18.311","98.2","3:19.765","9:46:02.163","121","154","4","","7722653","0","","Standard","No"
"32","47","Nordic Light Racing","3","3","1:05.687","117.1","3:52.144","9:46:34.542","117","180","4","","7650748","0","","R2","No"
